;Australia;Austria;Belgium;Canada;France;Germany;Italy;Japan;Korea;Mexico;Netherlands;Norway;Spain;Sweden;Switzerland;United Kingdom;United States
Q1-1986;0.7;0.9;0.5;0;0.4;-0.6;0.6;0.4;1.9;-1.9;0.2;1.9;0.3;2;0;1.1;0.9
Q2-1986;-0.2;1.2;0.2;0.6;1.1;1.2;0.6;-0.2;3.9;-0.4;1.7;-1.4;2.4;0.5;0.8;0.7;0.5
Q3-1986;0.3;0.1;1.2;0.1;0.4;0.7;1;0.6;4.3;-1.9;0.3;2.6;-0.7;0.5;0.1;0.5;1
Q4-1986;1.7;0.1;-1.2;-0.7;0.3;1;0.4;0.8;1.6;-0.3;-1.3;0.5;0.6;0.3;0;1.8;0.5
Q1-1987;1;-0.9;0.7;2.3;0.2;-2.5;0.4;-0.1;3.2;0.6;0.2;-0.4;2;0.5;0;0.9;0.7
Q2-1987;1.6;1.8;1.1;1.3;1.2;2.2;1.5;2.1;5;2.7;1.6;2.2;1.5;2.2;0.8;1.5;1.1
Q3-1987;1.8;1.2;1.4;1.5;0.7;0.7;0.3;2;1;0.1;1.1;-2.6;2.1;1.1;0.9;2.4;0.9
Q4-1987;2;0.8;1.3;1.3;1.7;1.6;1.1;2.6;2;1.2;0.8;1.8;2;0.3;0.9;1.1;1.7
Q1-1988;0.4;-1;1;1.5;1.1;-0.9;1.5;2.4;7.7;-0.7;0.1;-0.4;0.3;0.5;0.4;1.8;0.5
Q2-1988;0.1;1.8;0.9;0.9;0.7;1.8;0.6;-0.1;-2.2;-0.3;0.8;-1.5;1.2;0.2;0.8;0.6;1.3
Q3-1988;0.8;1.7;1.2;0;1.3;1.1;1.3;2.2;3.1;0.1;0.9;0.8;1.8;0.2;1.1;1.5;0.6
Q4-1988;1.6;1.2;1;0.7;1.1;1.2;1.2;1.1;3.3;2;0.9;0.1;-0.2;2.1;1.4;0.9;1.3
Q1-1989;1;0.8;0.8;1.1;1.2;1;0.6;2.7;0;1.9;1.5;-0.7;2.4;0.2;0.4;0.4;1
Q2-1989;2.1;0.5;1;0.4;0.8;0.4;0.4;-1.3;1.5;0;1.2;1.2;1;0.7;1.6;0.7;0.8
Q3-1989;0.8;0.8;0.4;0.4;1.2;0.9;1;1.7;2.6;1.9;0.9;1;1.3;0;1.1;0.1;0.7
Q4-1989;-0.3;1.3;1.3;-0.2;1.4;1.2;1;3.1;4.1;-0.9;0.8;0.7;-0.2;1.3;1.3;0.1;0.2
Q1-1990;0.8;1.2;1.6;0.9;0.4;2.1;0.4;-0.5;1;2.2;1.3;-0.4;0.9;0.2;1.5;0.7;1.1
Q2-1990;0.1;1.1;-0.4;-0.4;0.6;0.5;0.3;3.2;2.2;2.2;0.8;1.1;1.7;-0.3;0.3;0.5;0.4
Q3-1990;-0.6;0.8;0.1;-0.7;0.4;2.1;0.2;1.7;3.2;1.4;1.4;-1;-0.3;-0.8;-0.2;-1;0.1
Q4-1990;0.6;0.7;1.2;-0.9;0.3;1.8;-0.6;-0.2;2;1.3;0.8;2.7;3.8;1.1;-0.1;-0.3;-0.9
Q1-1991;-1.3;0.7;-0.4;-1.4;-0.2;2.8;2;0.9;3.8;0.3;-0.4;0.8;-1.9;-0.3;-0.3;-0.3;-0.5
Q2-1991;-0.1;0.9;1.2;0.5;0.6;-0.5;-0.5;1.2;1.7;1.5;1.2;0.5;1.2;-1.1;-0.5;-0.1;0.8
Q3-1991;0.4;1.1;0.7;0.1;0.2;-0.2;0;-0.2;2.1;0.2;0.4;-0.2;0.8;-0.5;0;-0.2;0.5
Q4-1991;0.1;0.6;0.5;0.2;0.5;1.3;1.2;0.7;2.5;1.8;1.1;0.7;0.5;-0.2;0.1;0.2;0.3
Q1-1992;0.7;0.4;1.4;0.1;1;1.5;0.3;0;1.8;0;0.7;2.1;1;0.9;0.6;0;1.2
Q2-1992;0.7;0.5;-1.2;0.1;0;-0.7;-0.1;0.4;0.7;1.6;-0.9;0.5;-1.3;-0.5;-0.2;-0.1;1.1
Q3-1992;1;0.1;0.3;0.5;-0.1;-0.2;-0.2;0.1;0.1;0.9;0.3;1.3;0.1;-1.4;-0.8;0.6;1
Q4-1992;2.1;-0.3;-1.2;0.6;-0.2;-0.3;-0.7;-0.6;1.6;0.1;0.4;-0.7;-0.7;-1.4;-0.7;0.7;1
Q1-1993;0.7;-0.2;-0.8;0.6;-0.7;-0.7;-0.1;1.1;2;0;0.6;-0.7;-0.9;-1.6;0;0.7;0.2
Q2-1993;0.6;0.6;1;0.9;0.1;0;-0.2;-0.6;2.6;0.3;0.2;1.7;0;1;0.8;0.5;0.6
Q3-1993;0.1;1;0.3;1;0.2;0.6;-0.2;-0.7;1.8;1.1;0.8;2;1.2;1.1;0.2;0.8;0.5
Q4-1993;1.9;0.7;1;0.4;0.2;-0.1;0.7;0.6;1.9;1.3;-0.6;3.6;0.4;0;0.5;0.7;1.4
Q1-1994;1.7;0.3;0.7;1.5;0.7;1.4;0.8;0.9;2.9;1;1.5;-1.1;0.8;1.1;0.5;1.2;1
Q2-1994;1.2;0.2;1.1;1.5;1.1;0.3;0.7;-0.5;1.6;2.1;1.2;2.3;0.2;1.1;-0.3;1.2;1.4
Q3-1994;0.8;0.9;0.3;1.3;0.6;0.7;0.6;1.1;1.7;0.8;0.8;-1.4;0.8;1.2;0.7;1.1;0.6
